Turkish,English
hava ,weather
terk ,abandonment
silah ,weapon
olacağını ,that
yapacağım ,I will do it
gelir ,income
varsa ,if any
komik ,comic
kısa ,short
aynen ,Exactly
etmeye ,to make
üzerine ,over
el ,hand
zarar ,damage
şaka ,joke
birinin ,someone
güle ,bye
zamanda ,at the time
siktir ,Fuck
daki ,in
acele ,rush
telefon ,telephone
ait ,belonging
gizli ,hidden
oyun ,game
kızı ,daughter
şuna ,to this
diyorsun ,you say
yeterince ,enough
verdim ,I gave
evlat ,son
geçti ,passed
baban ,your father
olmayacak ,will not be
dışında ,outside
yolunda ,on the way
hepsini ,all
uygun ,suitable
dans ,dance
günaydın ,Good morning
kapıyı ,the door
olurdu ,would be
tuhaf ,strange
memnun ,pleased
hissediyorum ,I am feeling
fikir ,idea
yüksek ,high
new ,New
olmadı ,It didn't happen
beyler ,gentlemen
tür ,type
verin ,give
değildir ,not
korkunç ,terrible
rahatsız ,uncomfortable
gidiyoruz ,We are going
gerektiğini ,what
geceler ,nights
aldı ,took
gidiyorsun ,You are going
iyiyim ,I am good
kere ,times
sanıyordum ,I thought
eden ,driving
gelin ,bride
veriyorum ,I give
edecek ,to be
beyaz ,white
yaşlı ,old
mümkün ,possible
neyi ,What
dolu ,full
içine ,into
çıkar ,interest
ölüm ,death
sensin ,you are
nasılsın ,How are you
bilmek ,to know
belli ,clear
sanıyorsun ,you think
sevindim ,I am pleased
yakında ,soon
varmış ,there
tahmin ,guess
sam ,Sam
herif ,guy
durun ,stop
parayı ,the money
şöyle ,Like this
yalnızca ,Only
vermek ,to give
biliyordum ,I knew
ediyorsun ,you are
acı ,angle
yapamam ,I can't do it
mısınız ,Are you
yapmaya ,to do
neydi ,what was it
hasta ,patient
üzere ,as well as
yapacağız ,we will do
istedi ,wanted
çeneni ,your jaw
güvenlik ,security
berbat ,wretched
annen ,your mother
bizimle ,with us
geliyorum ,I am coming
İçeri ,Inside
yapacak ,will make
dair ,about
başkan ,minister
dedin ,you said
neyin ,what
sizinle ,With you
dikkatli ,carefully
anladın ,you understand
yapıyorum ,i do
ihtiyacın ,Your need
olmayan ,non-
ihtiyacımız ,we need
ölü ,dead
aile ,family
bırakın ,quit
birine ,to someone
istediğini ,what you want
tatlı ,sweet
deli ,mad
milyon ,million
normal ,normal
söyledin ,You said
dışarıda ,outside
insanların ,peoples
diyorum ,I say
sefer ,expedition
olup ,in
pardon ,pardon
otur ,sit down
yemin ,oath
ana ,mother
te ,te
keşke ,If only
ettin ,you did
dünyanın ,world
şans ,chance
baş ,head
affedersiniz ,you forgive
evine ,home to home
biliyoruz ,we know
aşağı ,down
yeri ,place
İnsanlar ,People
millet ,people
aşk ,love
bununla ,With this
çık ,exit
kapa ,closure
miydi ,was it
at ,horse
durumu ,status
bilmem ,I don't know
arkadaş ,friend
kendisi ,itself
herkesin ,everybody's
kusura ,sorry
doğum ,birth
yapar ,does it
charlie ,charlie
isterim ,I would like
istersen ,if you want
yaşında ,old -time
michael ,Michael
cidden ,really
oradan ,from there
the ,The
kahve ,coffee
hata ,mistake
seks ,sex
kızlar ,girls
kaptan ,captain
yavaş ,slow
alıp ,take off
bakma ,do not look
hayatını ,life
dek ,until
yeterli ,sufficient
mıydı ,was it
zamandır ,for time
asıl ,royal
bunların ,these
hoşça ,nicely
önünde ,in front
sessiz ,silent
kızım ,my daughter
frank ,franc
erken ,early
aldın ,you got it
york ,york
sıcak ,hot
tehlikeli ,dangerous
amerika ,America
düşünüyor ,thinking
dön ,frost
bilgi ,information
getir ,bring
güç ,strength
hak ,right
ufak ,small
buradayım ,I am her
bilmiyor ,he does not know
cinayet ,murder
diyor ,says
gelmiş ,arrived
üstüne ,over
mesaj ,message
nefes ,breath
ele ,hand
birçok ,A lot
olmasını ,to be
yüz ,face
basit ,simple
yukarı ,above
çek ,Check
olduğum ,I am
köpek ,dog
duydun ,you heard
edeceğim ,I will make
evi ,the House
gayet ,very
şarkı ,song
tıpkı ,just as
benziyor ,looks like
anlaşıldı ,understood
inanamıyorum ,I cant believe
olduğun ,you
bulmak ,to find
söylüyorum ,I'm saying
kızın ,your daughter
vakit ,time
n ,N
yıldır ,years
görüyorum ,I see
haklı ,right
ses ,sound
olsaydı ,if it was
sonraki ,next
konu ,Subject
almaya ,to buy
gitmem ,I dont go
işler ,works
muhteşem ,wonderful
görünüyorsun ,you look
gidin ,go
olacaksın ,you will be
neye ,whereat
dalga ,wave
film ,film
adını ,name
kimsenin ,nobody
bi ,one
yerinde ,in place
bayım ,sir
bilmiyordum ,I didn't know
yapmam ,I don't do
yapacaksın ,you will do
istediğin ,you want
koca ,husband
yu ,yu
buldun ,you found
olmalısın ,you must be
ikinci ,second
anlamıyorum ,I don't understand
hatırlıyor ,Remember
insanları ,people
noel ,Christmas
acil ,urgent
mike ,mike
parti ,party
george ,George
lan ,lan
sebebi ,reason
fena ,bad
söylemiştim ,I said
yedi ,seven
tom ,tom
joe ,joe
özellikle ,especially
zamanlar ,times
yaptığı ,what he did
bilir ,knows
yaparım ,I do
alabilir ,you can get
birden ,suddenly
ajan ,agent
yanına ,next
sebep ,reason
eğlenceli ,fun
dedektif ,detective
adına ,in the name of
düşün ,think
rağmen ,despite
olmaya ,to be
tut ,Keep
görünüşe ,seemingly
herhalde ,I suppose
söylüyorsun ,you say
yapalım ,let's do
buradaki ,here
yoktur ,there is no
zavallı ,poor
david ,David
yemeği ,food
baksana ,look
temiz ,clean
babası ,his father
arkadaşın ,your friend
içki ,drink
söyleme ,saying
burda ,here
İşe ,Whereas
allah ,God
parçası ,Part of it
s ,s
biriyle ,with someone
üstünde ,above
şeyden ,out of what
istiyorsan ,if you want
uyuşturucu ,drugs
konuşma ,speech
olduğundan ,because
öldürmek ,kill
sesini ,your voice
bekliyor ,waiting
suç ,crime
görüyor ,sees
gerçeği ,reality
alın ,forehead
katil ,join
sevgili ,beloved
peter ,Peter
yerini ,location
defa ,times
gerekir ,must
müzik ,music
kayıp ,loss
güvenli ,trustworthy
tercih ,preference
patron ,boss
sayın ,Dear
gerekiyordu ,needed
çoğu ,most
değiliz ,we are not
işim ,name
geldik ,we came
kimseye ,to anyone
çoktan ,already
dürüst ,honest
alacağım ,I will take
eskiden ,before
teklif ,offer
arkadaşı ,his friend
dolayı ,because
numara ,number
sonsuza ,to infinity
geldiniz ,welcome
bilemiyorum ,I do not know
sonu ,end
olma ,being
unutma ,don't forget
kırmızı ,red
teslim ,delivery
canlı ,live
oda ,room
yapan ,doing
saçma ,nonsense
işini ,Your job
babamın ,my fathers
yaptığın ,you do
soğuk ,cold
verir ,giving
kimsin ,who are you
bahsediyorsun ,you are talking
bağlı ,connected
yapabilirim ,I can
onlardan ,from them
bizden ,U.S
süper ,Super
bulduk ,we found
hanımefendi ,lady
herşey ,everything
seviyor ,love
alan ,area
yaşıyor ,Living
olmasın ,not
onlarla ,with them
davet ,Invitation
yapmış ,made
ölmüş ,dead
yürü ,walk
sahibi ,owner
kalk ,get up
elinde ,in your hand
umurumda ,I care
sıra ,order 
istemiyor ,does not want
çalışıyorsun ,you work
çocukları ,children
tanıyor ,knows
burayı ,here
görmeye ,to see
kalan ,remainder
istiyoruz ,we want
sert ,hard
tamamdır ,Ok
olası ,possible
fikrim ,my idea
aşık ,in love
günler ,days
adamlar ,men
dava ,case
sene ,year
çekil ,get out
iyisi ,good
sağol ,Thanks
bakayım ,let me see
zorundayım ,I have to
anlat ,to explain
kavga ,fight
anlamı ,meaning
İyiyim ,I am good
alır ,gets
görmedim ,I didn't see
kendime ,to myself
kral ,king
kalmak ,to stay
geldiğini ,that
okul ,school
şehir ,city
gitsin ,let go
park ,Park
bekleyin ,wait
gelmek ,to come
İş ,Work
kapı ,door
yaptığım ,what I do
anlamına ,meaning
takım ,set
yola ,on the road
altına ,under
kendim ,myself
çocuğun ,your child
kara ,black
istemedim ,I didn't want
hatırlıyorum ,I remember
söyleyeyim ,let me tell you
edebilir ,can
canına ,to your life
mesela ,for example
iç ,drink
güneş ,sun 
orası ,there
herkese ,to everyone
sesi ,sound
olayı ,incident
şimdiye ,so far
pislik ,dirt
önceki ,former
ağır ,heavy
yarım ,half
sık ,chic
adama ,to man
düşünüyordum ,I was thinking
vereceğim ,I will give
paul ,Paul
henry ,Henry
hale ,state
anlaşma ,agreement
öğrenmek ,to learn
etmiş ,it has
ikna ,persuasion
aşkına ,for your love
anlıyor ,understands
duruyor ,stops
olabilirim ,I could be
getirdim ,I brought
affedersin ,you forgive
gurur ,pride
deki ,in
demektir ,means
sırada ,in line
ifade ,expression
aferin ,well done
l ,L
sıkı ,tight
max ,max
bölüm ,section
siyah ,black
yazık ,what a pity
kalp ,heart
arka ,back
verici ,transmitter
m ,m
suçlu ,guilty
kadının ,woman
oldun ,you became
düşünmüştüm ,I thought
yapmayı ,to do
kalın ,thick
herşeyi ,everything
başıma ,to me
şef ,chef
telefonu ,phone
silahı ,weapon
annesi ,his mother
edeyim ,let me
resmi ,official
gittim ,i went
hoşuma ,I like it
vakti ,time
veriyor ,giving
hepiniz ,all of you
gider ,expense
serbest ,free
üst ,top
göster ,show
kaldım ,I stayed
kadınlar ,women
yla ,with
kitap ,book
kelime ,word
dünyada ,in the world
orospu ,bitch
olman ,your being
birileri ,someone
günün ,your day
gidecek ,will go
istiyorsunuz ,you want
arabayı ,the car
sürece ,as long as
satın ,purchase
zengin ,rich
sona ,end
tehdit ,threatening
bira ,beer
ilginç ,interesting
sekiz ,eight  
söyleyeceğim ,I will say
ettiğini ,what
üçüncü ,third
james ,james
söylemiştin ,you said
b ,B
almış ,bought
hayatı ,vital
alex ,Alex
olmayı ,to be
na ,na
tarafa ,to side
bayanlar ,ladies
yıllar ,years
olanlar ,what happened
verdin ,you gave
aptalca ,stupid
mıyım ,am I
nedeni ,Reason
danny ,Danny
zamanlarda ,in times
iyilik ,goodness
altın ,gold
istemem ,I do not want
çalışan ,worker
öldürdü ,killed
yaklaşık ,approximately
yapıyoruz ,we do
kendin ,yourself
mantıklı ,logical
konuş ,talk
değer ,value
taraftan ,on the side
isim ,name
işleri ,work
niçin ,why
gideceğim ,I will go
dua ,prayer
dinleyin ,listen
deniz ,sea
duymak ,to listen
okula ,to school
yolunu ,way
yaşam ,life
general ,general
olacağız ,we will be
herkesi ,everyone
mary ,Mary
güvende ,safe
yapabilir ,can do
yapıyorsunuz ,you do
edelim ,let's
karanlık ,darkness
ayak ,foot
yapmadım ,I did not do
alıyor ,taking
görev ,duty
kimseyi ,nobody
sigara ,cigarette
yaşamak ,to live
çıkıp ,out of
hediye ,gift
çeşit ,sort
ortak ,partner
edip ,educated
aşırı ,extreme
önceden ,previously
bok ,shit
güven ,trust
polisi ,policeman
duyuyor ,hears
elde ,in the hand
gitmiş ,gone
sarah ,Sarah
bey ,gentleman
teki ,in
gerekecek ,will be required
severim ,I like
alıyorum ,I'm buying
geldiğinde ,when it comes
sahte ,fake
ee ,ee
isteyen ,wanting
duyuyorum ,I hear
sizden ,from you
muydu ,was it
jimmy ,Jimmy
kalacak ,will stay
ahbap ,buddy
parça ,piece
ortadan ,in the middle
mavi ,blue
amerikan ,American
saçmalık ,nonsense
kalmadı ,no more
çift ,couple
d ,D
endişelenme ,don't worry
hayatımı ,my life
dışı ,female
rica ,request
kişisel ,personal
kadını ,woman
yo ,yo
elini ,your hand
derece ,degree
salak ,idiot
fbi ,FBI
kimi ,who
biliyorsunuz ,you know
bul ,find
tan ,tan
hani ,you know
erkekler ,men
saygı ,respect
birazdan ,Soon
kulak ,ear
elimden ,from my hand
evin ,your house
ön ,front
tanıyorum ,I know
döndü ,turned
zorundasın ,you have to
gücü ,power
zeki ,intelligent
çalıştım ,I worked
gitme ,don't go
seksi ,sexy
gördüğüm ,what I see
nick ,Nick
verme ,giving
tebrikler ,Congratulations
farkında ,aware
arıyor ,calling
etmez ,not
söyleyin ,Say
İkinci ,Second
söyler ,Saying
balık ,fish
ten ,skin
harry ,Harry
ellerini ,your hands
İsa ,Jesus
destek ,support
yüzbaşı ,captain
olurum ,I will be
yanımda ,by my side
kutsal ,sacred
insanlara ,to people
ray ,rail
alt ,lower
yaz ,Summer
gibiydi ,it was like
kapat ,close
karım ,my wife
jim ,jim
alacak ,receivable
isterdim ,I would have liked to
bayağı ,pretty
grup ,group
istediği ,wanted
annemin ,my mom's
öylece ,so
türlü ,various kinds of
gerekli ,necessary
ikiniz ,two of you
korumak ,to protect
yolda ,on the road
olmadığı ,not
geriye ,back
hayatın ,Your life
yaptık ,we did
verecek ,will give
ilgisi ,interest
çıkmak ,to leave
epey ,quite
iyidir ,is good
hoşuna ,you like it
adın ,your name
gerekirse ,if necessary
gelmedi ,did not come
ediyoruz ,we do
peder ,father
bildiğim ,I know
tony ,tony
inanılmaz ,unbelievable
olduğumuzu ,that we are
anlamadım ,I don't understand
ders ,lesson
gelmiyor ,does not come
şanslı ,lucky
adamla ,with the man
sarhoş ,drunk
defol ,get out
kalmış ,remained
jane ,jane
haline ,into
mesele ,issue
gir ,enter
dahil ,including
koy ,bay
arama ,call
baştan ,from the beginning
hikaye ,story
olduğunda ,when
buydu ,that was
sıradan ,ordinary
geleni ,what's the future
derin ,deep
kalsın ,stay
yiyecek ,food
paris ,Paris
bob ,bob
bill ,Bill
buralarda ,in here
birinci ,first
söylemişti ,he said
lee ,Lee
götür ,take
önemi ,the importance of
babanın ,Your father
yıldız ,star
etmeyi ,to do
olmam ,not to be
muydun ,have you been
arıyorum ,I am searching
İnsan ,Person
oyunu ,game
kaza ,accident
ailesi ,family
şimdilik ,now
başladım ,I started
giden ,outgoing
sorunu ,problem
plan ,plan
araya ,in
bilmiyorsun ,You do not know
kafa ,head
gördünüz ,you saw
yapman ,you do
buradasın ,you are here
aradı ,called
yerden ,out of the ground
ikimiz ,the two of us
test ,test
yaramaz ,naughty
evinde ,at home
yoluna ,on the way
edersin ,you
unut ,forget
korkarım ,I'm afraid
hayvan ,animal
geçmiş ,past
olanları ,what happened
gösteriyor ,is showing
çay ,tea
olabilirsin ,you can be
buyurun ,here
kapalı ,closed
neredesin ,Where are you
şuraya ,there
zorundayız ,we have to
yardıma ,to help
kahrolası ,goddamn
sanmıştım ,I thought
yoldan ,out of the way
aklıma ,to my mind
istediğimi ,what I want
zamana ,to time
doğal ,natural
tarafta ,on the side
nesi ,what's up
miydin ,Are you
birşeyler ,something
çıkıyor ,turns out
sevdim ,I loved
değerli ,valuable
sürpriz ,surprise
gitmeliyim ,I have to go
konuyu ,subject
parmak ,finger
amca ,uncle
hamile ,pregnant
genelde ,in general
ziyaret ,visit
başarılı ,successful
dünyayı ,the world
sevgilim ,My love
üzgün ,sad
richard ,richard
akşamlar ,evenings
tedavi ,treatment
oğlu ,son-
korkuyorum ,I am scared
arkasında ,behind
albay ,colonel
düzgün ,smooth
edildi ,was
mark ,Mark
inanıyorum ,I believe
istersin ,you want
ayağa ,to the feet
ciddiyim ,I am serious
çalışmak ,to work
yargıç ,judge
avukat ,lawyer
edebilirim ,I can
cehenneme ,to hell
alayım ,let me take
majesteleri ,Your Majesty
sevdiğim ,Favorite
arabaya ,in the car
bekliyorum ,I am waiting
başlıyor ,starting
konuşmaya ,to talk
gittiğini ,that you go
sol ,left
kat ,floor
söylemem ,I don't say
sahi ,actually
çekilin ,withdraw
seyirler ,cruise
baylar ,gentlemen
diyeceğim ,I will say
kafayı ,head
yapabilirsin ,you can do
veririm ,I give
çalışma ,study
can ,life
akıllı ,clever
istiyorlar ,they want
sonuçta ,after all
buldu ,found
